MAKE,MODEL,MODEL_YR,BODY_STYLE,BLIND_SPOT_DETECTION,ARS,AUTO_CRASH_NOTIFICATION,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING,CRASH_IMMINENT_BRAKE,DYNAMIC_BRAKE_SUPPORT,NHTSA_ESC
DODGE,HORNET R/T EAWD,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FIAT,500E,2025,3 HB,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,BRONCO 2DR,2025,SUV,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,BRONCO 4DR,2025,SUV,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,BRONCO SPORT EARLY RELEASE,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,BRONCO SPORT LATER RELEASE,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,ESCAPE GAS,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,ESCAPE GAS,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,ESCAPE HEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,ESCAPE HEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,ESCAPE PHEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPEDITION,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPEDITION,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPEDITION MAX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPEDITION MAX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPLORER,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPLORER,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPLORER HEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,EXPLORER HEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (REGULAR CAB) GAS,2025,PU/RC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (REGULAR CAB) GAS,2025,PU/RC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (SUPER CAB) GAS,2025,PU/EC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (SUPER CAB) GAS,2025,PU/EC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (SUPER CREW) GAS,2025,PU/CC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (SUPER CREW) GAS,2025,PU/CC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (SUPER CREW) HEV,2025,PU/CC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-150 (SUPER CREW) LIGHTNING BEV,2025,PU/CC,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,F-250 (CREW CAB),2025,PU/CC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-250 (CREW CAB),2025,PU/CC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-250 (REGULAR CAB),2025,PU/RC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-250 (REGULAR CAB),2025,PU/RC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-250 (SUPER CAB),2025,PU/EC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-250 (SUPER CAB),2025,PU/EC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-250 TREMOR (CREW CAB),2025,PU/CC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-250 TREMOR (CREW CAB),2025,PU/CC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-350 (CREW CAB),2025,PU/CC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-350 (CREW CAB),2025,PU/CC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-350 (REGULAR CAB),2025,PU/RC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-350 (REGULAR CAB),2025,PU/RC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-350 (SUPER CAB),2025,PU/EC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,F-350 (SUPER CAB),2025,PU/EC,Optional,Standard, ,Optional,None,Optional,Optional,
FORD,MAVERICK EARLY RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MAVERICK EARLY RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MAVERICK HEV EARLY RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MAVERICK HEV EARLY RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MAVERICK HEV LATER RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MAVERICK HEV LATER RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MAVERICK LATER RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MAVERICK LATER RELEASE,2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,MUSTANG,2025,2 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,MUSTANG,2025,C,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,MUSTANG GTD,2025,2 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,MUSTANG MACH-E BEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,MUSTANG MACH-E BEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
FORD,RANGER (SUPER CREW),2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,RANGER (SUPER CREW),2025,PU/CC,Optional,Standard, ,Standard,Optional,Standard,Standard,
FORD,TRANSIT HIGH ROOF 12 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT HIGH ROOF 12 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT HIGH ROOF 15 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT HIGH ROOF 15 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT LOW ROOF 12 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT LOW ROOF 12 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT LOW ROOF 15 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT LOW ROOF 15 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT MEDIUM ROOF 12 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT MEDIUM ROOF 12 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT MEDIUM ROOF 15 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT MEDIUM ROOF 15 PASS,2025,PV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT VAN - GAS,2025,CV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT VAN - GAS,2025,CV,Optional,Standard, ,Standard,Standard,Standard,Standard,
FORD,TRANSIT VAN BEV,2025,CV,Optional,Standard, ,Standard,Standard,Standard,Standard,
GENESIS,ELECTRIFIED G80,2025,4 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
GENESIS,ELECTRIFIED GV70,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,G70,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,G70,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,G80,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,G80,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,G90,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,G90,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,GV60,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,GV60,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
